epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,628.513,1.50209,1.08553,1.43415,0.9068,0.84879,0.91629,0.52629,1.1264,0.90532,1.09059,0.000581,0.000581,0.000581
45,643.387,1.51785,1.10384,1.44972,0.90016,0.84845,0.91942,0.51169,1.16828,1.51265,1.09885,0.000548,0.000548,0.000548
46,657.342,1.50297,1.08816,1.43791,0.92806,0.85838,0.92918,0.54012,1.10882,1.29174,1.07638,0.000515,0.000515,0.000515
47,670.98,1.45586,1.04076,1.41355,0.91647,0.88214,0.93771,0.54523,1.10491,0.83119,1.06504,0.000482,0.000482,0.000482
48,685.207,1.46385,1.04673,1.4101,0.92163,0.88305,0.93777,0.52139,1.1878,1.13053,1.09811,0.000449,0.000449,0.000449
49,698.839,1.46418,1.03095,1.41199,0.91425,0.8899,0.93744,0.5577,1.0768,1.00859,1.04655,0.000416,0.000416,0.000416
50,712.84,1.44376,1.01479,1.39287,0.91818,0.90226,0.94286,0.55253,1.11078,1.01361,1.05945,0.000383,0.000383,0.000383
51,752.618,1.41806,0.90648,1.40828,0.89612,0.87486,0.9229,0.53948,1.10025,1.55774,1.0548,0.00035,0.00035,0.00035
52,766.653,1.35709,0.83843,1.37764,0.91568,0.87811,0.93603,0.55134,1.06804,0.88348,1.05235,0.000317,0.000317,0.000317
53,780.521,1.35782,0.82155,1.37031,0.9221,0.8976,0.94872,0.56229,1.06627,0.94194,1.03661,0.000284,0.000284,0.000284
54,794.092,1.34819,0.78233,1.35119,0.93295,0.91229,0.9529,0.57738,1.0317,0.86279,1.02093,0.000251,0.000251,0.000251
55,807.664,1.32529,0.78584,1.3474,0.92981,0.90635,0.95123,0.58213,1.01481,0.7028,1.01196,0.000218,0.000218,0.000218
56,821.451,1.31347,0.76773,1.33613,0.93315,0.90554,0.95353,0.59181,0.99466,0.69031,1.00213,0.000185,0.000185,0.000185
57,834.959,1.30381,0.75905,1.33148,0.94017,0.90407,0.95552,0.59382,0.9793,0.72899,0.99239,0.000152,0.000152,0.000152
58,848.775,1.29349,0.74906,1.32508,0.94324,0.90224,0.95722,0.59893,0.9791,0.74534,0.99589,0.000119,0.000119,0.000119
59,862.33,1.29653,0.73592,1.3257,0.92934,0.92371,0.9587,0.59102,0.99658,0.72333,0.99675,8.6e-05,8.6e-05,8.6e-05
60,875.881,1.26087,0.73381,1.30338,0.92814,0.92188,0.9583,0.59408,0.9884,0.66997,0.99675,5.3e-05,5.3e-05,5.3e-05
