epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0842,2.04944,2.28707,1.81339,0.00364,0.40978,0.00173,0.00058,nan,nan,nan,0.000658537,0.000658537,0.000658537
2,57.5257,2.15399,2.14225,1.89427,0.21848,0.11284,0.06301,0.01988,nan,nan,nan,0.00129896,0.00129896,0.00129896
3,85.8421,2.21028,2.2366,1.96139,0.17274,0.23298,0.11315,0.03838,1.91234,166.005,1.92185,0.00191299,0.00191299,0.00191299
4,113.541,2.1447,2.2077,1.9139,0.00406,0.19461,0.00158,0.00042,2.574,inf,2.47603,0.0018812,0.0018812,0.0018812
5,140.893,2.08096,2.04406,1.85386,0.43897,0.35907,0.34289,0.11627,1.76901,15.0634,1.67444,0.0018416,0.0018416,0.0018416
6,169.107,2.00924,1.97995,1.81005,0.35491,0.28551,0.25917,0.09935,1.80087,21.1753,1.71741,0.001802,0.001802,0.001802
7,196.402,1.97124,1.85048,1.79766,0.55401,0.43536,0.4502,0.17821,1.66433,5.31399,1.5889,0.0017624,0.0017624,0.0017624
8,224.384,1.95414,1.84437,1.77506,0.574,0.40201,0.42375,0.171,1.66708,5.27396,1.59579,0.0017228,0.0017228,0.0017228
9,252.367,1.94539,1.82822,1.75788,0.59865,0.43399,0.47986,0.19318,1.61461,7.88624,1.56097,0.0016832,0.0016832,0.0016832
10,281.33,1.88392,1.68233,1.71238,0.65669,0.51469,0.56687,0.25119,1.5229,9.1539,1.46193,0.0016436,0.0016436,0.0016436
11,309.625,1.86919,1.70589,1.70524,0.67969,0.5254,0.58837,0.26368,1.46817,3.67872,1.43123,0.001604,0.001604,0.001604
12,339.008,1.8554,1.65221,1.68792,0.66584,0.55343,0.60519,0.2713,1.45758,6.04157,1.41816,0.0015644,0.0015644,0.0015644
13,367.875,1.80759,1.5577,1.64337,0.61078,0.55916,0.59143,0.26794,1.47714,5.96813,1.41936,0.0015248,0.0015248,0.0015248
