epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0638,1.96456,2.44472,1.62034,0.42602,0.15852,0.18921,0.07673,1.62313,19.2901,1.33999,0.000658537,0.000658537,0.000658537
2,191.041,1.97001,2.05701,1.65969,0.29513,0.24303,0.1639,0.06157,1.74314,23.3118,1.60748,0.00129896,0.00129896,0.00129896
3,291.178,2.01125,2.06071,1.63659,0.049,0.15075,0.02045,0.00738,1.95337,62.5253,1.67378,0.00191299,0.00191299,0.00191299
4,388.374,2.03966,2.00755,1.69581,0.52075,0.38668,0.3983,0.16187,1.67549,7.25878,1.47339,0.0018812,0.0018812,0.0018812
5,486.81,2.03372,1.95544,1.675,0.44564,0.34993,0.30929,0.11806,1.75539,6.10901,1.48209,0.0018416,0.0018416,0.0018416
6,584.085,1.9871,1.88593,1.65501,0.54746,0.4178,0.43003,0.17822,1.63917,6.27326,1.4023,0.001802,0.001802,0.001802
7,683.278,1.91827,1.8121,1.62511,0.35157,0.38328,0.26214,0.1021,1.63804,41.2831,1.43066,0.0017624,0.0017624,0.0017624
8,780.583,1.91561,1.80189,1.5975,0.55211,0.43719,0.47596,0.20334,1.59741,7.01718,1.35626,0.0017228,0.0017228,0.0017228
9,880.416,1.88044,1.72415,1.59252,0.5176,0.49246,0.46875,0.20313,1.56978,14.6607,1.32305,0.0016832,0.0016832,0.0016832
10,983.193,1.85265,1.68513,1.57083,0.51035,0.4928,0.48153,0.19741,1.5725,6.8336,1.34467,0.0016436,0.0016436,0.0016436
11,1087.99,1.84608,1.60987,1.54548,0.65305,0.54687,0.57935,0.24132,1.48668,18.1755,1.26755,0.001604,0.001604,0.001604
12,1199.74,1.80238,1.60451,1.53384,0.66437,0.55185,0.57607,0.25363,1.50536,9.5696,1.31597,0.0015644,0.0015644,0.0015644
13,1315.99,1.83301,1.5794,1.53653,0.70655,0.61444,0.66469,0.30179,1.45288,3.69289,1.24663,0.0015248,0.0015248,0.0015248
14,1429.4,1.80406,1.56748,1.56481,0.6596,0.58063,0.62119,0.27584,1.41974,4.03826,1.23478,0.0014852,0.0014852,0.0014852
15,1542.37,1.78907,1.51095,1.5113,0.71342,0.60046,0.66637,0.31073,1.43169,4.54715,1.2356,0.0014456,0.0014456,0.0014456
16,1654.34,1.77181,1.53189,1.52258,0.70877,0.64151,0.69677,0.3295,1.3964,3.45009,1.229,0.001406,0.001406,0.001406
17,1766.6,1.73484,1.40418,1.48988,0.79024,0.65966,0.74568,0.36169,1.43477,1.83581,1.23563,0.0013664,0.0013664,0.0013664
18,1880.36,1.73134,1.40535,1.46383,0.73495,0.65236,0.71628,0.35135,1.38121,2.0955,1.18832,0.0013268,0.0013268,0.0013268
19,1979.31,1.74719,1.40184,1.48101,0.73491,0.67245,0.73139,0.35317,1.40929,3.1309,1.20131,0.0012872,0.0012872,0.0012872
