epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,2076.22,1.71694,1.38675,1.46117,0.78033,0.67108,0.74479,0.364,1.33641,5.31988,1.16897,0.0012476,0.0012476,0.0012476
21,2175.08,1.70048,1.38085,1.46296,0.7609,0.68707,0.75302,0.37214,1.37418,2.34226,1.20704,0.001208,0.001208,0.001208
22,2272.16,1.70908,1.34644,1.45766,0.82983,0.70443,0.79623,0.41423,1.30658,3.19125,1.12768,0.0011684,0.0011684,0.0011684
23,2370.79,1.68233,1.29465,1.44292,0.80229,0.71357,0.79625,0.42231,1.28128,1.9133,1.14599,0.0011288,0.0011288,0.0011288
24,2468.37,1.68202,1.28916,1.43775,0.80641,0.72773,0.80488,0.42153,1.29327,2.64781,1.13615,0.0010892,0.0010892,0.0010892
25,2566.91,1.67026,1.30913,1.45233,0.78617,0.73504,0.79553,0.41535,1.29037,1.91162,1.14166,0.0010496,0.0010496,0.0010496
26,2662.87,1.64314,1.27335,1.43247,0.84097,0.7323,0.8139,0.42561,1.25954,1.40751,1.14102,0.00101,0.00101,0.00101
27,2759.11,1.60678,1.25139,1.40377,0.82564,0.7323,0.82783,0.43865,1.23635,2.06953,1.0911,0.0009704,0.0009704,0.0009704
28,2855.94,1.61782,1.1982,1.39923,0.84801,0.7661,0.84571,0.45726,1.2193,1.37842,1.09814,0.0009308,0.0009308,0.0009308
29,2952.12,1.61419,1.21224,1.39815,0.80875,0.74956,0.826,0.43536,1.22588,2.01618,1.08968,0.0008912,0.0008912,0.0008912
30,3047.62,1.59942,1.19726,1.39927,0.84489,0.77141,0.84602,0.45898,1.21506,3.6004,1.10382,0.0008516,0.0008516,0.0008516
31,3149.28,1.58915,1.15615,1.3986,0.83593,0.78072,0.84768,0.47592,1.19287,1.84199,1.09465,0.000812,0.000812,0.000812
32,3247.1,1.59276,1.13367,1.38848,0.84659,0.79671,0.86603,0.47984,1.18719,3.08248,1.07698,0.0007724,0.0007724,0.0007724
33,3343.86,1.5259,1.13265,1.36837,0.85725,0.78392,0.86128,0.47754,1.17849,1.37474,1.0695,0.0007328,0.0007328,0.0007328
34,3442.76,1.52012,1.09831,1.36567,0.86311,0.81226,0.87819,0.49087,1.17213,1.56347,1.0656,0.0006932,0.0006932,0.0006932
35,3539.16,1.5451,1.10162,1.36207,0.88705,0.80493,0.88037,0.49172,1.1708,1.71268,1.06139,0.0006536,0.0006536,0.0006536
36,3633.69,1.52415,1.09299,1.37217,0.86193,0.8159,0.87829,0.50048,1.13747,1.93413,1.02542,0.000614,0.000614,0.000614
37,3728.89,1.51799,1.0814,1.3459,0.84784,0.83737,0.88156,0.51407,1.12096,1.83025,1.03249,0.0005744,0.0005744,0.0005744
38,3825.2,1.48227,1.05463,1.34179,0.88744,0.82778,0.89735,0.52565,1.09744,1.37865,1.02008,0.0005348,0.0005348,0.0005348
39,3922.75,1.48968,1.07284,1.35276,0.8917,0.81498,0.89928,0.53332,1.10098,1.33828,1.021,0.0004952,0.0004952,0.0004952
40,4018.54,1.48095,1.02282,1.34954,0.86642,0.85336,0.90423,0.54098,1.08867,1.43116,1.01655,0.0004556,0.0004556,0.0004556
41,4116.01,1.41401,0.92202,1.31264,0.88395,0.84904,0.90881,0.54149,1.08513,2.39906,1.02011,0.000416,0.000416,0.000416
42,4211.77,1.39796,0.87021,1.29869,0.88169,0.85244,0.91073,0.54815,1.06449,1.52271,1.00393,0.0003764,0.0003764,0.0003764
43,4307.18,1.39768,0.84896,1.28574,0.89948,0.85975,0.92059,0.55866,1.0504,1.35208,0.9925,0.0003368,0.0003368,0.0003368
44,4401.36,1.34461,0.81919,1.26734,0.91502,0.85588,0.92467,0.56817,1.02236,1.55091,0.98279,0.0002972,0.0002972,0.0002972
45,4502.67,1.34539,0.80449,1.25794,0.91105,0.86798,0.92594,0.56989,1.01056,1.61948,0.97324,0.0002576,0.0002576,0.0002576
46,4603,1.31947,0.80502,1.26057,0.91334,0.87985,0.93308,0.57708,1.0042,1.4412,0.96909,0.000218,0.000218,0.000218
47,4703.8,1.31759,0.78668,1.24733,0.91873,0.87787,0.93274,0.58707,0.96773,1.31158,0.95363,0.0001784,0.0001784,0.0001784
48,4799.01,1.29843,0.77527,1.24213,0.91808,0.88057,0.93519,0.59416,0.95854,1.43958,0.94969,0.0001388,0.0001388,0.0001388
49,4893.7,1.29016,0.75322,1.24409,0.91832,0.88305,0.94047,0.59716,0.96196,1.35011,0.95213,9.92e-05,9.92e-05,9.92e-05
50,4987.04,1.29342,0.74929,1.23428,0.9174,0.88786,0.93931,0.60303,0.93181,1.32112,0.93668,5.96e-05,5.96e-05,5.96e-05
