epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,9198.7,1.59042,1.32723,1.59386,0.79909,0.73771,0.81415,0.42391,1.29913,5.26139,1.32547,0.0009704,0.0009704,0.0009704
28,9538.44,1.59486,1.31009,1.58379,0.84495,0.76676,0.85217,0.47304,1.22059,2.3381,1.26978,0.0009308,0.0009308,0.0009308
29,9874.14,1.59297,1.32061,1.58591,0.81946,0.77159,0.8421,0.46203,1.24016,1.69294,1.29781,0.0008912,0.0008912,0.0008912
30,10209.7,1.5779,1.30413,1.5681,0.86103,0.79945,0.87321,0.48122,1.22024,5.52157,1.26805,0.0008516,0.0008516,0.0008516
31,10545.4,1.5449,1.238,1.55562,0.86184,0.80539,0.87899,0.49932,1.19989,2.39433,1.25934,0.000812,0.000812,0.000812
32,10880.7,1.56596,1.19756,1.55663,0.85046,0.82732,0.88335,0.50457,1.17393,4.40806,1.23109,0.0007724,0.0007724,0.0007724
33,11215.8,1.50015,1.19472,1.52605,0.8886,0.8126,0.8892,0.51054,1.1722,1.66736,1.23477,0.0007328,0.0007328,0.0007328
34,11550.4,1.48104,1.16271,1.51797,0.87591,0.84011,0.90146,0.52032,1.16891,3.22044,1.2264,0.0006932,0.0006932,0.0006932
35,11885.8,1.51776,1.15216,1.52355,0.86762,0.85932,0.90367,0.52174,1.14297,2.47218,1.21737,0.0006536,0.0006536,0.0006536
36,12220.1,1.48276,1.1449,1.53843,0.88996,0.83417,0.90769,0.53816,1.14668,2.67917,1.22249,0.000614,0.000614,0.000614
37,12556,1.46864,1.11153,1.49046,0.90815,0.83562,0.9151,0.53947,1.14135,1.62505,1.21386,0.0005744,0.0005744,0.0005744
38,12892,1.43508,1.08875,1.48607,0.9071,0.84011,0.92197,0.56075,1.09341,1.15812,1.17521,0.0005348,0.0005348,0.0005348
39,13226.8,1.42447,1.08016,1.49897,0.88842,0.85519,0.92514,0.56435,1.08877,1.70614,1.17402,0.0004952,0.0004952,0.0004952
40,13561.4,1.41557,1.04976,1.48332,0.89441,0.87437,0.93107,0.57676,1.069,1.81541,1.15708,0.0004556,0.0004556,0.0004556
41,13893.7,1.38889,0.94549,1.49344,0.9043,0.86333,0.92936,0.56012,1.09736,2.33453,1.18187,0.000416,0.000416,0.000416
42,14225.8,1.36999,0.87541,1.50438,0.91289,0.86654,0.93387,0.57143,1.09105,1.63195,1.18754,0.0003764,0.0003764,0.0003764
43,14557.5,1.36176,0.85998,1.47471,0.92233,0.88214,0.94664,0.59564,1.02749,1.58699,1.13582,0.0003368,0.0003368,0.0003368
44,14888.8,1.32282,0.82174,1.4553,0.92143,0.8963,0.94746,0.60376,1.01322,1.49951,1.12403,0.0002972,0.0002972,0.0002972
45,15220.1,1.30861,0.81026,1.43826,0.92804,0.89995,0.95455,0.61274,0.99426,1.45275,1.11054,0.0002576,0.0002576,0.0002576
46,15551.9,1.28397,0.80261,1.44414,0.92437,0.9027,0.95394,0.61356,0.99517,1.57949,1.11695,0.000218,0.000218,0.000218
47,15883.3,1.25893,0.78546,1.4085,0.93276,0.90622,0.9564,0.62685,0.96247,1.45565,1.08625,0.0001784,0.0001784,0.0001784
48,16215.6,1.25971,0.77092,1.40425,0.93464,0.90803,0.95935,0.63639,0.9464,1.36716,1.07969,0.0001388,0.0001388,0.0001388
49,16548.7,1.24253,0.74251,1.4085,0.93772,0.90681,0.9592,0.63157,0.9597,1.35607,1.09086,9.92e-05,9.92e-05,9.92e-05
50,16880.7,1.24872,0.74376,1.40088,0.93704,0.90863,0.96097,0.6379,0.9359,1.21009,1.07044,5.96e-05,5.96e-05,5.96e-05
