epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.182,1.92048,2.94671,1.85353,0.40455,0.07812,0.10455,0.03865,1.77496,37.1039,1.91696,0.000658537,0.000658537,0.000658537
2,711.218,1.95519,2.55213,1.87647,0.04557,0.17314,0.01864,0.00573,2.11088,288.504,2.15108,0.00129896,0.00129896,0.00129896
3,1052.51,2.03924,2.46734,1.95302,0.23696,0.23024,0.15061,0.0523,1.92282,51.7216,1.92227,0.00191299,0.00191299,0.00191299
4,1388.88,2.04033,2.32911,1.95524,0.43253,0.27181,0.23529,0.09094,1.75672,46.9433,1.79007,0.0018812,0.0018812,0.0018812
5,1727.82,1.98864,2.28354,1.93662,0.3197,0.24029,0.21107,0.08104,1.78615,16.3246,1.8787,0.0018416,0.0018416,0.0018416
6,2066.44,1.96968,2.14721,1.88792,0.40664,0.36638,0.35504,0.14996,1.55115,14.5936,1.5767,0.001802,0.001802,0.001802
7,2409.14,1.92049,2.0524,1.84891,0.5277,0.46346,0.46326,0.18768,1.60942,7.53855,1.63821,0.0017624,0.0017624,0.0017624
8,2750.73,1.91399,2.05594,1.8328,0.56253,0.45043,0.50143,0.20658,1.58928,9.6558,1.62729,0.0017228,0.0017228,0.0017228
9,3088.12,1.8781,1.95165,1.81612,0.58931,0.49794,0.51057,0.21941,1.53273,7.14404,1.52552,0.0016832,0.0016832,0.0016832
10,3423.6,1.85076,1.88244,1.77338,0.54633,0.44084,0.47532,0.1963,1.58377,5.34122,1.55918,0.0016436,0.0016436,0.0016436
11,3759.6,1.83147,1.87074,1.76968,0.65049,0.5535,0.6112,0.26995,1.4893,4.86315,1.51923,0.001604,0.001604,0.001604
12,4095.11,1.78339,1.7834,1.73387,0.56149,0.45592,0.4878,0.2138,1.48796,34.7668,1.48365,0.0015644,0.0015644,0.0015644
13,4431,1.80194,1.74211,1.75324,0.64857,0.57058,0.59935,0.25156,1.5025,4.54519,1.48103,0.0015248,0.0015248,0.0015248
14,4767.35,1.77706,1.71876,1.73301,0.68307,0.62424,0.66355,0.31591,1.42661,6.57717,1.45599,0.0014852,0.0014852,0.0014852
15,5103.25,1.76419,1.64466,1.71373,0.6612,0.59571,0.63852,0.28797,1.4662,8.4291,1.50898,0.0014456,0.0014456,0.0014456
16,5439.05,1.76635,1.64133,1.71416,0.76452,0.63408,0.72098,0.34582,1.41147,3.65926,1.41525,0.001406,0.001406,0.001406
17,5775.38,1.71398,1.54434,1.6626,0.74081,0.65938,0.74827,0.36982,1.38927,5.07518,1.41514,0.0013664,0.0013664,0.0013664
18,6111.07,1.71169,1.54537,1.66482,0.76844,0.66743,0.75486,0.36566,1.39928,2.23966,1.40408,0.0013268,0.0013268,0.0013268
19,6446.65,1.70392,1.53407,1.66162,0.78083,0.68684,0.77261,0.38152,1.37552,2.4788,1.39095,0.0012872,0.0012872,0.0012872
20,6782.88,1.69231,1.5164,1.65224,0.74616,0.672,0.74616,0.36759,1.38039,5.80306,1.38071,0.0012476,0.0012476,0.0012476
21,7118.5,1.6601,1.50746,1.6396,0.76637,0.6656,0.75876,0.38216,1.34505,2.93638,1.3575,0.001208,0.001208,0.001208
22,7469.08,1.66011,1.43544,1.63038,0.82204,0.72316,0.81033,0.41882,1.31868,4.58274,1.3429,0.0011684,0.0011684,0.0011684
23,7827.99,1.64796,1.42467,1.62298,0.80194,0.7227,0.80818,0.42157,1.31473,2.25,1.34142,0.0011288,0.0011288,0.0011288
24,8175.93,1.64785,1.39103,1.61685,0.8318,0.73732,0.82784,0.43232,1.28966,2.83934,1.32624,0.0010892,0.0010892,0.0010892
25,8518.18,1.64249,1.39291,1.61944,0.80602,0.73082,0.8124,0.42105,1.30897,2.4277,1.32849,0.0010496,0.0010496,0.0010496
26,8858.99,1.59548,1.36361,1.58906,0.82134,0.76237,0.83392,0.45442,1.2722,2.21403,1.30725,0.00101,0.00101,0.00101
