epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,233.074,1.73616,1.4,1.51643,0.77785,0.64624,0.72924,0.35571,1.40672,1.98486,1.21332,0.0014456,0.0014456,0.0014456
16,248.192,1.72963,1.38795,1.49493,0.77894,0.67767,0.75195,0.37441,1.33681,2.25656,1.16377,0.001406,0.001406,0.001406
17,263.577,1.72895,1.32662,1.4892,0.8034,0.68981,0.76913,0.37032,1.36266,1.62606,1.21632,0.0013664,0.0013664,0.0013664
18,279.306,1.66828,1.31362,1.47782,0.77091,0.69486,0.75598,0.3805,1.36209,2.65635,1.18913,0.0013268,0.0013268,0.0013268
19,294.898,1.7105,1.29084,1.49583,0.81198,0.72225,0.79701,0.40706,1.33511,1.74906,1.196,0.0012872,0.0012872,0.0012872
20,310.477,1.66865,1.27399,1.45096,0.78189,0.68753,0.75289,0.38138,1.33282,3.10725,1.1675,0.0012476,0.0012476,0.0012476
21,327.047,1.63754,1.27752,1.44345,0.80477,0.71814,0.77099,0.39328,1.31136,1.82845,1.15772,0.001208,0.001208,0.001208
22,342.724,1.64381,1.24429,1.45647,0.80206,0.74966,0.80645,0.40953,1.31488,3.03445,1.17898,0.0011684,0.0011684,0.0011684
23,358.4,1.60843,1.19709,1.43772,0.83362,0.73824,0.82489,0.43693,1.28674,2.06219,1.15579,0.0011288,0.0011288,0.0011288
24,374.154,1.63774,1.19777,1.45749,0.82061,0.74829,0.81257,0.42706,1.27023,2.15322,1.15551,0.0010892,0.0010892,0.0010892
25,389.655,1.6405,1.18366,1.45255,0.7961,0.74735,0.80653,0.41787,1.28655,1.84354,1.16242,0.0010496,0.0010496,0.0010496
26,405.36,1.56575,1.15992,1.42201,0.83613,0.74509,0.82204,0.43607,1.25964,2.46812,1.14609,0.00101,0.00101,0.00101
27,420.563,1.58389,1.15827,1.40273,0.87568,0.7916,0.86851,0.46633,1.25041,1.23863,1.11945,0.0009704,0.0009704,0.0009704
28,436.519,1.57508,1.10706,1.40292,0.84944,0.78255,0.85336,0.46956,1.21493,1.94408,1.11139,0.0009308,0.0009308,0.0009308
29,451.99,1.54012,1.08528,1.39788,0.87461,0.79762,0.87639,0.48786,1.20322,1.07866,1.10067,0.0008912,0.0008912,0.0008912
30,467.724,1.55605,1.07659,1.39359,0.86816,0.80037,0.87108,0.47653,1.22562,1.09488,1.12178,0.0008516,0.0008516,0.0008516
31,483.303,1.53006,1.06531,1.37449,0.86695,0.80669,0.87392,0.48566,1.17967,2.32746,1.0842,0.000812,0.000812,0.000812
32,499.182,1.50004,1.03952,1.37269,0.85872,0.80524,0.87992,0.49412,1.17194,1.4775,1.07916,0.0007724,0.0007724,0.0007724
33,514.683,1.50782,1.04228,1.36791,0.8764,0.80653,0.88093,0.49328,1.16351,1.32258,1.06672,0.0007328,0.0007328,0.0007328
34,530.631,1.47314,1.00712,1.35222,0.90871,0.82915,0.90605,0.53572,1.11696,1.71057,1.04683,0.0006932,0.0006932,0.0006932
35,546.261,1.47302,0.99923,1.33866,0.90022,0.83251,0.90687,0.53332,1.09114,1.0289,1.03004,0.0006536,0.0006536,0.0006536
36,564.45,1.46675,0.95727,1.34126,0.8994,0.84239,0.91017,0.53424,1.11728,1.23933,1.05515,0.000614,0.000614,0.000614
37,579.775,1.449,0.94842,1.3342,0.92046,0.82321,0.91446,0.54012,1.09468,0.76558,1.04067,0.0005744,0.0005744,0.0005744
38,595.532,1.44083,0.93714,1.32483,0.90198,0.84651,0.92364,0.55562,1.07282,0.93131,1.01577,0.0005348,0.0005348,0.0005348
39,610.88,1.43016,0.93668,1.29618,0.90558,0.87188,0.93389,0.56992,1.04993,0.79208,1.00489,0.0004952,0.0004952,0.0004952
40,626.474,1.44172,0.93591,1.32098,0.9101,0.86017,0.93,0.57177,1.02517,0.81314,0.99751,0.0004556,0.0004556,0.0004556
41,665.886,1.39105,0.84922,1.31043,0.91087,0.85747,0.92857,0.56951,1.02385,2.07763,1.00401,0.000416,0.000416,0.000416
42,681.488,1.32006,0.77986,1.263,0.91774,0.8868,0.93666,0.58356,1.00514,1.33673,0.98355,0.0003764,0.0003764,0.0003764
43,696.94,1.31778,0.75554,1.25726,0.91182,0.8762,0.94173,0.59084,0.98743,1.39179,0.97799,0.0003368,0.0003368,0.0003368
44,712.3,1.30711,0.73317,1.25306,0.91786,0.88828,0.94518,0.59733,0.99251,0.80696,0.98448,0.0002972,0.0002972,0.0002972
45,727.774,1.27521,0.72157,1.23875,0.91596,0.89904,0.94946,0.60506,0.9701,0.75575,0.9688,0.0002576,0.0002576,0.0002576
46,743.108,1.25867,0.69888,1.22549,0.93509,0.89584,0.95041,0.60717,0.94242,0.78112,0.94847,0.000218,0.000218,0.000218
47,758.29,1.226,0.68372,1.21484,0.93392,0.89082,0.95496,0.61933,0.93801,0.788,0.94502,0.0001784,0.0001784,0.0001784
48,773.714,1.21738,0.68583,1.20412,0.93398,0.90087,0.9542,0.62012,0.93956,0.60095,0.94961,0.0001388,0.0001388,0.0001388
49,788.989,1.21244,0.66735,1.19807,0.93331,0.90139,0.95631,0.63118,0.91217,0.58778,0.93331,9.92e-05,9.92e-05,9.92e-05
50,804.605,1.19882,0.64805,1.19315,0.9372,0.9027,0.95805,0.63502,0.8939,0.68029,0.92407,5.96e-05,5.96e-05,5.96e-05
