epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8303,2.01224,2.45339,1.64305,0.34107,0.38567,0.24608,0.09532,1.66463,29.0274,1.47413,0.000658537,0.000658537,0.000658537
2,32.7742,2.047,1.98313,1.72338,0.13999,0.3682,0.08839,0.03134,1.85233,164.57,1.94037,0.00129896,0.00129896,0.00129896
3,48.248,2.05411,1.96054,1.7424,0.09854,0.44998,0.06626,0.0227,1.87826,52.6823,2.04566,0.00191299,0.00191299,0.00191299
4,63.8236,2.10244,2.02275,1.77339,0.46392,0.39059,0.3526,0.13499,1.68941,20.0172,1.49853,0.0018812,0.0018812,0.0018812
5,79.2245,2.01577,1.88872,1.69905,0.42661,0.38985,0.34504,0.13868,1.69627,8.86126,1.43744,0.0018416,0.0018416,0.0018416
6,94.6001,1.95003,1.80266,1.64687,0.46624,0.42211,0.38802,0.15636,1.68461,9.01554,1.45069,0.001802,0.001802,0.001802
7,109.992,1.91939,1.70499,1.65966,0.65616,0.53178,0.57632,0.24804,1.59783,4.71699,1.37544,0.0017624,0.0017624,0.0017624
8,125.298,1.91298,1.69001,1.63476,0.66573,0.57104,0.62744,0.27559,1.50209,5.68352,1.31956,0.0017228,0.0017228,0.0017228
9,140.755,1.88159,1.61411,1.61213,0.60299,0.53357,0.53694,0.23344,1.51698,6.64342,1.32399,0.0016832,0.0016832,0.0016832
10,156.153,1.84008,1.55476,1.57441,0.67416,0.59546,0.64853,0.29524,1.48856,12.6142,1.30016,0.0016436,0.0016436,0.0016436
11,171.72,1.83092,1.55852,1.56,0.68073,0.57972,0.63133,0.28761,1.45568,17.736,1.26223,0.001604,0.001604,0.001604
12,186.865,1.82362,1.54633,1.57192,0.6953,0.58109,0.63044,0.28955,1.45737,1.9556,1.27162,0.0015644,0.0015644,0.0015644
13,202.235,1.75614,1.45262,1.51704,0.6799,0.60347,0.65315,0.31129,1.40399,2.16165,1.21741,0.0015248,0.0015248,0.0015248
14,217.637,1.77722,1.46497,1.53336,0.7642,0.67839,0.74262,0.36132,1.37542,3.37545,1.21342,0.0014852,0.0014852,0.0014852
